Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,GASOLINA CORRIENTE OXIGENADA,9860,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.6992158, -74.028637)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,BIODIESEL EXTRA,9780,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.6992158, -74.028637)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,GASOLINA EXTRA OXIGENADA,17250,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.6992158, -74.028637)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,GASOLINA CORRIENTE OXIGENADA,9860,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.6992158, -74.028637)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,BIODIESEL EXTRA,9780,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.6992158, -74.028637)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SUPER ESTACION DE SERVICIO TEXACO 10,TEXACO,AVENIDA CARRERA 7 No. 123A-48,GASOLINA EXTRA OXIGENADA,17600,A,AVENIDA CARRERA 7 No. 123A-48,"AVENIDA CARRERA 7 No. 123A-48, Bogota  d.c., Colombia","(4.6992158, -74.028637)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ROXI,MOBIL,Carrera 24  No 7-11,GASOLINA EXTRA OXIGENADA,16860,A,Carrera 24  No 7-11,"Carrera 24  No 7-11, Bogota  d.c., Colombia","(4.6043147, -74.0925892)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ROXI,MOBIL,Carrera 24  No 7-11,BIODIESEL EXTRA,9145,A,Carrera 24  No 7-11,"Carrera 24  No 7-11, Bogota  d.c., Colombia","(4.6043147, -74.0925892)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO ROXI,MOBIL,Carrera 24  No 7-11,GASOLINA CORRIENTE OXIGENADA,9398,A,Carrera 24  No 7-11,"Carrera 24  No 7-11, Bogota  d.c., Colombia","(4.6043147, -74.0925892)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO SANTA ISABEL,MOBIL,Avenida Carrera 30 # 2 - 38,BIODIESEL EXTRA,9034,A,Avenida Carrera 30 No 2 - 38,"Avenida Carrera 30 # 2 - 38, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,SERVICENTRO ESSO SANTA ISABEL,MOBIL,Avenida Carrera 30 # 2 - 38,GASOLINA CORRIENTE OXIGENADA,9517,A,Avenida Carrera 30 No 2 - 38,"Avenida Carrera 30 # 2 - 38, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO COMBUSCOL - OCCIDENTE,MOBIL,Carrera 96H N. 17 - 25,GASOLINA CORRIENTE OXIGENADA,9560,A,Carrera 96H N. 17 - 25,"Carrera 96H N. 17 - 25, Bogota  d.c., Colombia","(4.6705307, -74.1427419)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACIÓN DE SERVICIO COMBUSCOL - OCCIDENTE,MOBIL,Carrera 96H N. 17 - 25,BIODIESEL EXTRA,10210,A,Carrera 96H N. 17 - 25,"Carrera 96H N. 17 - 25, Bogota  d.c., Colombia","(4.6705307, -74.1427419)"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,TEXACO 38 ESTACIÓN DE SERVICIO CALLE 50,TEXACO,CRA 17 # 50-42,GASOLINA EXTRA OXIGENADA,12310,A,CRA 17 No 50-42,"CRA 17 # 50-42, Bogota  d.c., Colombia","('NA', 'NA')"
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,TEXACO 38 ESTACIÓN DE SERVICIO CALLE 50,TEXACO,CRA 17 # 50-42,GASOLINA CORRIENTE OXIGENADA,9370,A,CRA 17 No 50-42,"CRA 17 # 50-42, Bogota  d.c., Colombia","('NA', 'NA')"
